Owner,n_plants,n_operating_plants,total_capacity_ttpa,pipeline_capacity_ttpa,n_countries,n_regions,countries,main_region,median_plant_age_years,n_plants_with_litpop,avg_litpop_nearest_usd,avg_litpop_25km_usd,capacity_weighted_litpop_25km_usd,litpop_coverage_share,bof_share,centroid_lat,centroid_lon,largest_plant,largest_plant_lat,largest_plant_lon,max_distance_to_centroid_km,centroid_to_largest_plant_km
Esteel Enterprise Sabah Sdn Bhd,1,0,0.0,0.0,1,1,Malaysia,Asia Pacific,0.0,0,,,,0.0,,6.104211000000001,116.20221800000002,Esteel Sabah steel plant,6.104211,116.202218,8.841550824811861e-14,8.841550824811861e-14
Novasco BV,1,0,0.0,0.0,1,1,France,Europe,113.83,0,,,,0.0,,49.241492,6.152631000000001,Novasco Hagondange steel plant,49.241492,6.152631,5.772403074999985e-14,5.772403074999985e-14
Eurasian Resources Group SARL; China Baowu Steel Group Co Ltd,1,0,0.0,0.0,1,1,Kazakhstan,Eurasia,,0,,,,0.0,,52.9775332,63.18257369999999,ERG Baowu Rudny HBI plant,52.9775332,63.1825737,0.0,0.0
Ezhou Hongtai Steel Co Ltd,1,0,0.0,0.0,1,1,China,Asia Pacific,22.75,1,1723280956.9704273,50338083287.13734,,1.0,,30.532352000000003,114.747597,Ezhou Hongtai Steel Co Ltd,30.532352,114.747597,0.0,0.0
Ningxia Boyu Hongxing Special Steel Group Co Ltd,1,0,0.0,0.0,1,1,China,Asia Pacific,19.14,1,1044069289.8932406,7539457044.554833,,1.0,,39.273832000000006,106.75146,Ningxia Boyu Hongxing Special Steel Group Co,39.273832,106.75146,7.073240659849489e-13,7.073240659849489e-13
Fangchenggang Jinxi Steel Technology Co Ltd,1,0,0.0,0.0,1,1,China,Asia Pacific,,1,954514098.9683073,2871373789.8433514,,1.0,,21.646525,108.369582,Fangchenggang Jinxi Steel Technology Co Ltd,21.646525,108.369582,0.0,0.0
Fasa Steel Complex Co,1,0,0.0,1500.0,1,1,Iran,Middle East,,0,,,,0.0,,28.977452999999997,53.867836000000004,Fasa Steel Complex Fars,28.977453,53.867836,9.397814490102034e-13,9.397814490102034e-13
Fuhai Group New Energy Holding Co Ltd,1,0,0.0,0.0,1,1,Indonesia,Asia Pacific,,0,,,,0.0,,-1.556636,103.679366,Fuhai Indonesia steel plant,-1.556636,103.679366,0.0,0.0
Luannan Huarui Steel Co Ltd,1,0,0.0,0.0,1,1,China,Asia Pacific,19.0,1,1572778754.3996863,14073015226.40881,,1.0,,39.51832999999999,118.715766,Hebei Huaxi Iron and Steel Co Ltd,39.51833,118.715766,7.073240659849489e-13,7.073240659849489e-13
Baldota Steel and Power Ltd,1,0,0.0,10500.0,1,1,India,Asia Pacific,0.0,1,185356174.34875867,2334801913.519275,,1.0,,15.332615999999998,76.206778,Baldota Koppal steel plant,15.332616,76.206778,3.5366203299247443e-13,3.5366203299247443e-13
GuangDong Xinxing Ductile Iron Pipes Co Ltd,1,0,0.0,0.0,1,1,China,Asia Pacific,11.0,1,126961940.125218,3327734091.422327,,1.0,,22.099140000000002,111.665479,GuangDong Xinxing Ductile Iron Pipes Co Ltd,22.09914,111.665479,3.5366203299247443e-13,3.5366203299247443e-13
KIC Metaliks Ltd,1,0,0.0,598.0,1,1,India,Asia Pacific,28.05,1,1554639245.0040002,19864497189.311275,,1.0,,23.507539,87.277914,KIC Metaliks Durgapur steel plant,23.507539,87.277914,0.0,0.0
GravitHy,2,0,0.0,0.0,2,1,"Finland, France",Europe,,0,,,,0.0,,53.12872522144985,11.294390370015053,GravitHy Fos sur Mer iron plant,43.436519,4.852576,1177.2754811364969,1177.2754811364964
Green Iron Magnetite Project,1,0,0.0,0.0,1,1,Australia,Asia Pacific,,0,,,,0.0,,-34.595209,135.84922000000003,Lincoln Minerals South Australia Green Iron Plant,-34.595209,135.84922,2.3290309857564515e-12,2.3290309857564515e-12
Jinzhou Jinxing Special Steel Co Ltd,1,0,0.0,360.0,1,1,China,Asia Pacific,25.1,1,549095770.045926,51265446599.24432,,1.0,,41.188888,121.22504300000001,Jinzhou Jinxing Special Steel Company,41.188888,121.225043,0.0,0.0
Green Steel of WA Pty Ltd,2,0,0.0,500.0,1,1,Australia,Asia Pacific,,0,,,,0.0,,-31.05642601318413,115.50262707952383,Green Steel of WA Collie Steel plant,-33.341998,116.239926,263.44034986844343,263.4403498684431
