iso3,lat_bin,lon_bin,value,log10_value
CHN,25.25,117.75,1217136397.0,9.085
CHN,25.25,118.25,31621547814.0,10.5
CHN,25.25,118.75,56746983840.0,10.754
CHN,25.25,119.25,54305834989.0,10.735
CHN,25.25,119.75,905659918.0,8.957
CHN,25.75,98.25,7651382.0,6.884
CHN,25.75,98.75,237015407.0,8.375
CHN,25.75,99.25,118205853.0,8.073
CHN,25.75,99.75,136182138.0,8.134
CHN,25.75,100.25,11855090072.0,10.074
CHN,25.75,100.75,1739172869.0,9.24
CHN,25.75,101.25,529258326.0,8.724
CHN,25.75,101.75,543226584.0,8.735
CHN,25.75,102.25,580130919.0,8.764
CHN,25.75,102.75,326794095.0,8.514
CHN,25.75,103.25,936770468.0,8.972
CHN,25.75,103.75,11642996880.0,10.066
CHN,25.75,104.25,2841888770.0,9.454
CHN,25.75,104.75,1480821866.0,9.171
CHN,25.75,105.25,463137761.0,8.666
CHN,25.75,105.75,938275360.0,8.972
CHN,25.75,106.25,747049157.0,8.873
CHN,25.75,106.75,157564158.0,8.197
CHN,25.75,107.25,228541626.0,8.359
CHN,25.75,107.75,948739836.0,8.977
CHN,25.75,108.25,183453538.0,8.264
CHN,25.75,108.75,520251866.0,8.716
CHN,25.75,109.25,258674998.0,8.413
CHN,25.75,109.75,313240034.0,8.496
CHN,25.75,110.25,144247990.0,8.159
CHN,25.75,110.75,757518933.0,8.879
CHN,25.75,111.25,1169038204.0,9.068
CHN,25.75,111.75,2925807449.0,9.466
CHN,25.75,112.25,2423666897.0,9.384
CHN,25.75,112.75,4165006467.0,9.62
CHN,25.75,113.25,16558809243.0,10.219
CHN,25.75,113.75,365117928.0,8.562
CHN,25.75,114.25,353888834.0,8.549
CHN,25.75,114.75,43541233810.0,10.639
CHN,25.75,115.25,5616002774.0,9.749
CHN,25.75,115.75,1888048784.0,9.276
CHN,25.75,116.25,5670149818.0,9.754
CHN,25.75,116.75,1096862549.0,9.04
CHN,25.75,117.25,3118610699.0,9.494
CHN,25.75,117.75,1131609536.0,9.054
CHN,25.75,118.25,1046110528.0,9.02
CHN,25.75,118.75,855107768.0,8.932
CHN,25.75,119.25,43402239484.0,10.638
CHN,25.75,119.75,21188003948.0,10.326
CHN,26.25,98.75,27473564.0,7.439
CHN,26.25,99.25,269414893.0,8.43
CHN,26.25,99.75,313370566.0,8.496
CHN,26.25,100.25,386868400.0,8.588
CHN,26.25,100.75,89582877.0,7.952
CHN,26.25,101.25,47532229.0,7.677
CHN,26.25,101.75,1129020292.0,9.053
CHN,26.25,102.25,108908568.0,8.037
CHN,26.25,102.75,221232932.0,8.345
CHN,26.25,103.25,1705980430.0,9.232
CHN,26.25,103.75,162465252.0,8.211
CHN,26.25,104.25,4601621943.0,9.663
CHN,26.25,104.75,523298057.0,8.719
CHN,26.25,105.25,1770595732.0,9.248
CHN,26.25,105.75,16819757933.0,10.226
CHN,26.25,106.25,5143300839.0,9.711
CHN,26.25,106.75,23453891365.0,10.37
CHN,26.25,107.25,1582313100.0,9.199
CHN,26.25,107.75,4232655196.0,9.627
CHN,26.25,108.25,191059930.0,8.281
CHN,26.25,108.75,98025794.0,7.991
CHN,26.25,109.25,252309902.0,8.402
CHN,26.25,109.75,236020254.0,8.373
CHN,26.25,110.25,290923228.0,8.464
CHN,26.25,110.75,421082456.0,8.624
CHN,26.25,111.25,563222526.0,8.751
CHN,26.25,111.75,8506678329.0,9.93
CHN,26.25,112.25,1845615831.0,9.266
CHN,26.25,112.75,5850124485.0,9.767
CHN,26.25,113.25,855736842.0,8.932
CHN,26.25,113.75,383494685.0,8.584
CHN,26.25,114.25,228807418.0,8.359
CHN,26.25,114.75,1122242482.0,9.05
CHN,26.25,115.25,2267030110.0,9.355
CHN,26.25,115.75,938277079.0,8.972
CHN,26.25,116.25,1870044323.0,9.272
CHN,26.25,116.75,694438379.0,8.842
CHN,26.25,117.25,672043694.0,8.827
CHN,26.25,117.75,8697682548.0,9.939
